N,Categoria,Titulo,Mensaje,Variante_corta,Cuando_enviarlo
87,Mensajes de cierre de venta,Cierre con apartado,¡Genial! 🙌 Te lo aparto enseguida para asegurarte el stock. Con [seña / confirmación] te lo dejo reservado. ¿Te parece?,¡Genial! 🙌 Te lo aparto para asegurar el stock. ¿Lo reservamos?,Cuando el cliente quiere pero necesita un poco más de tiempo.
88,Mensajes de cierre de venta,Cierre con resumen,"Entonces quedamos así 😊: [producto], $[precio], [forma de entrega]. ¿Lo confirmamos y avanzamos con el pago?",Quedamos: [producto] a $[precio] con [entrega] 😊 ¿Lo confirmamos?,Para ordenar y cerrar cuando ya conversaron varios detalles.
89,Mensajes de cierre de venta,Cierre con facilidad de pago,"¡Perfecto! 🙌 Para que sea cómodo, puedes pagar con [link / transferencia / cuotas]. Te dejo todo listo, solo dime cuál te acomoda 😊",¡Perfecto! 🙌 Págalo fácil con [link/transferencia/cuotas]. ¿Cuál te acomoda?,Cuando facilitar el pago es lo que falta para cerrar.
90,Mensajes de cierre de venta,Cierre amable final,"Me encantaría ayudarte con tu [producto] 😊 Si te parece bien, lo dejamos coordinado y te aseguras el tuyo. ¿Lo confirmamos? 🙌",Me encantaría ayudarte 😊 ¿Lo confirmamos y te aseguro el tuyo?,Cierre suave para clientes que valoran un trato cálido.
91,Mensajes para pedir datos de compra,Pedir datos de envío,"¡Genial! 😊 Para coordinar tu envío, ¿me ayudas con estos datos?
• Nombre completo:
• Dirección y comuna/ciudad:
• Teléfono de contacto:
Apenas los tenga, te confirmo todo 🙌","¡Genial! 😊 Para el envío: nombre, dirección y teléfono. ¡Y te confirmo!",Cuando el cliente confirmó la compra con despacho.
92,Mensajes para pedir datos de compra,Pedir datos para boleta / factura,"¡Perfecto! 🙌 ¿Necesitas boleta o factura? Si es factura, pásame [razón social / RUT / giro] y la dejo lista junto a tu pedido 😊","¡Perfecto! 🙌 ¿Boleta o factura? Si es factura, pásame los datos.",Cuando necesitas datos para emitir el documento de pago.
93,Mensajes para pedir datos de compra,Compartir datos de pago,"¡Listo! 😊 Te dejo los datos para el pago 👇
[Banco / Nombre / Cuenta / Tipo / Correo]
Apenas hagas la transferencia, mándame el comprobante y te confirmo enseguida 🙌",¡Listo! 😊 Datos de pago 👇 [datos]. Mándame el comprobante y confirmo.,Cuando el cliente acordó pagar por transferencia.
94,Mensajes para pedir datos de compra,Confirmar pedido y pedir comprobante,"¡Perfecto, pedido confirmado! 🙌 En cuanto me envíes el comprobante de pago, preparo tu [producto] y te aviso cuando vaya en camino 😊",¡Pedido confirmado! 🙌 Envíame el comprobante y preparo tu [producto].,Para cerrar el círculo una vez acordado el pago.
95,Mensajes para pedir datos de compra,Pedir datos para coordinar un servicio,"¡Excelente! 😊 Para agendar tu [servicio], ¿me confirmas estos datos?
• Nombre:
• Día y hora que prefieres:
• [Dato relevante del servicio]:
Y te dejo todo reservado 🙌","¡Excelente! 😊 Para agendar: nombre, día/hora preferido y [dato]. ¡Y lo reservo!",Cuando vendes servicios y necesitas coordinar una cita.
96,Mensajes para reactivar clientes antiguos,Saludo + novedad,¡Hola [nombre]! 😊 ¿Cómo has estado? Pasaba a saludarte y a contarte que tenemos [novedad / nuevo producto] que creo te puede gustar. ¿Te muestro? 🙌,¡Hola [nombre]! 😊 ¿Cómo has estado? Tenemos [novedad] que te puede gustar. ¿Te muestro?,Para reconectar con un cliente que hace tiempo no te compra.
97,Mensajes para reactivar clientes antiguos,Oferta exclusiva para clientes,"¡Hola [nombre]! 🙌 Como ya eres cliente, quería darte acceso primero a [oferta exclusiva] antes que al resto. Es mi forma de agradecerte la confianza 😊","¡Hola [nombre]! 🙌 Por ser cliente, tienes primero esta [oferta]. ¡Gracias por la confianza!",Cuando quieres premiar la fidelidad con un beneficio especial.
98,Mensajes para reactivar clientes antiguos,Producto nuevo relacionado,¡Hola [nombre]! 😊 Me acordé de ti porque llegó [producto nuevo] que combina perfecto con el [producto que compró]. ¿Te gustaría verlo? 🙌,¡Hola [nombre]! 😊 Llegó [producto nuevo] ideal para complementar tu [compra]. ¿Te muestro?,Cuando tienes algo que complementa una compra anterior.
99,Mensajes para reactivar clientes antiguos,"""Te extrañamos"" + beneficio","¡Hola [nombre]! 😊 Hace tiempo que no nos vemos y queríamos saludarte. Si quieres volver a probar [producto/servicio], te dejo [beneficio] de bienvenida 🙌",¡Hola [nombre]! 😊 ¡Te extrañábamos! Te dejo [beneficio] para volver a vernos.,Para reactivar con un gesto cálido y un pequeño incentivo.
100,Mensajes para reactivar clientes antiguos,Recordatorio de reposición / recompra,¡Hola [nombre]! 😊 Calculo que ya se te debe estar acabando tu [producto consumible]. ¿Quieres que te prepare otro para que no te quedes sin? 🙌,¡Hola [nombre]! 😊 ¿Ya se te acaba tu [producto]? ¿Te preparo otro?,Ideal para productos que se consumen o agotan con el tiempo.
